,L,B,RA,DEC,Galactic_Index
0,124.39999999999992,20.0,23.85119224031243,82.74609844699353,168
1,124.39999999999992,23.4,32.77824770340114,86.04254196150337,169
2,128.99999999999991,20.0,52.0840661445785,80.96222742353784,180
3,133.5999999999999,20.0,69.00670953613457,77.9089801674079,192
4,128.99999999999991,23.4,69.99394237376953,83.36739509309346,181
5,138.1999999999999,20.0,79.09308133374147,74.31287682890418,204
6,133.5999999999999,23.4,84.07314404458175,79.66203531974374,193
7,142.7999999999999,20.0,85.70402051510582,70.47425669224991,216
8,124.39999999999992,26.799999999999997,89.11019773429953,88.65098362779054,170
9,147.3999999999999,20.0,90.45433005073927,66.51482774230192,228
10,138.1999999999999,23.4,91.11293108117768,75.70899050938847,205
11,151.9999999999999,20.0,94.12778393455781,62.490117328909946,240
12,142.7999999999999,23.4,95.53064371705416,71.67098881515274,217
13,156.59999999999988,20.0,97.1354511791105,58.42877600012323,252
14,147.3999999999999,23.4,98.73037806032525,67.59751436872156,229
15,161.19999999999987,20.0,99.71047977070396,54.347280119215995,264
16,128.99999999999991,26.799999999999997,100.76629603206693,84.58216218341629,182
17,151.9999999999999,23.4,101.27759081823584,63.508845273210724,241
18,165.79999999999987,20.0,101.99448507483386,50.25606749089328,276
19,133.5999999999999,26.799999999999997,103.31218189350231,80.48883374120955,194
20,156.59999999999988,23.4,103.441706293433,59.41528384976561,253
21,170.39999999999986,20.0,104.07873788425776,46.16237061782876,288
22,138.1999999999999,26.799999999999997,104.9637585680387,76.39610450573127,206
23,161.19999999999987,23.4,105.36764491608388,55.323050185537504,265
24,174.99999999999986,20.0,106.02523201620339,42.071644985552325,300
25,142.7999999999999,26.799999999999997,106.34877606320605,72.30718094083821,218
26,165.79999999999987,23.4,107.14094112085948,51.236494960188764,277
27,147.3999999999999,26.799999999999997,107.62544145394638,68.22396898773411,230
28,179.59999999999985,20.0,107.87815422771612,37.98834736926283,312
29,170.39999999999986,23.4,108.8160520371629,47.15906474435335,289
30,151.9999999999999,26.799999999999997,108.85377409217124,64.1481546669271,242
31,156.59999999999988,26.799999999999997,110.0627552696628,60.08141309613479,254
32,174.99999999999986,23.4,110.4300043315917,43.09377775269653,301
33,161.19999999999987,26.799999999999997,111.26908962899245,56.02548031661866,266
34,179.59999999999985,23.4,112.00953403122679,39.04348599924709,313
35,165.79999999999987,26.799999999999997,112.48391281957883,51.982192479802734,278
36,170.39999999999986,26.799999999999997,113.7156220048603,47.953516261726115,290
37,174.99999999999986,26.799999999999997,114.97122879257985,43.94157787819024,302
38,179.59999999999985,26.799999999999997,116.25707655769027,39.94869368668623,314
39,151.9999999999999,30.199999999999996,116.67061137177978,64.3794998199068,243
40,147.3999999999999,30.199999999999996,116.81835606109594,68.35445533905302,231
41,156.59999999999988,30.199999999999996,116.88518683061837,60.40534386571135,255
42,161.19999999999987,30.199999999999996,117.34300541232902,56.43715996969427,267
43,142.7999999999999,30.199999999999996,117.55686020044898,72.3221521902157,219
44,165.79999999999987,30.199999999999996,117.97693535362174,52.47883535963761,279
45,170.39999999999986,30.199999999999996,118.74712472469126,48.533669646922654,291
46,138.1999999999999,30.199999999999996,119.37794536035659,76.26734139778834,207
47,174.99999999999986,30.199999999999996,119.62923007182555,44.60472177823355,303
48,179.59999999999985,30.199999999999996,120.60832765853723,40.695005352411016,315
49,161.19999999999987,33.599999999999994,123.500701062642,56.547212858421545,268
50,133.5999999999999,30.199999999999996,123.54109185064483,80.15319874759076,195
51,165.79999999999987,33.599999999999994,123.56223015477343,52.71625552747058,280
52,156.59999999999988,33.599999999999994,123.7694621595323,60.37576376920187,256
53,170.39999999999986,33.599999999999994,123.87245248003161,48.890142619996126,292
54,174.99999999999986,33.599999999999994,124.37887497191883,45.07460462210495,304
55,151.9999999999999,33.599999999999994,124.49985435064822,64.19186269758703,244
56,179.59999999999985,33.599999999999994,125.04695828227261,41.274546829006546,316
57,147.3999999999999,33.599999999999994,125.91362784821484,67.98013695364452,232
58,142.7999999999999,33.599999999999994,128.40907741004287,71.71437533354293,220
59,170.39999999999986,36.99999999999999,129.04748950197103,49.01691108009288,293
60,165.79999999999987,36.99999999999999,129.17450791426285,52.689403259752325,281
61,174.99999999999986,36.99999999999999,129.19036182440107,45.34482703532355,305
62,179.59999999999985,36.99999999999999,129.55306801865302,41.68087926649669,317
63,161.19999999999987,36.99999999999999,129.64469041700218,56.35264227640112,269
64,156.59999999999988,36.99999999999999,130.5675121850781,59.99372585208806,257
65,151.9999999999999,36.99999999999999,132.11095198549668,63.5942088933168,245
66,138.1999999999999,33.599999999999994,132.75824373766486,75.34419621609797,208
67,174.99999999999986,40.39999999999999,134.03054162468516,45.41158935412228,306
68,179.59999999999985,40.39999999999999,134.1038006224058,41.90930899298213,318
69,170.39999999999986,40.39999999999999,134.22477380815795,48.91178315299562,294
70,128.99999999999991,30.199999999999996,134.27164789442025,83.8545942500902,183
71,147.3999999999999,36.99999999999999,134.5409114366001,67.12583151705051,233
72,165.79999999999987,40.39999999999999,134.74620157569166,52.39885599861524,282
73,161.19999999999987,40.39999999999999,135.67895317635785,55.8587203767443,270
74,156.59999999999988,40.39999999999999,137.14309501355245,59.27247029297497,258
75,142.7999999999999,36.99999999999999,138.29180965259403,70.54216931233202,221
76,179.59999999999985,43.79999999999999,138.67424829830944,41.95712973834717,319
77,174.99999999999986,43.79999999999999,138.86465736264165,45.273938973699664,307
78,151.9999999999999,40.39999999999999,139.3122626369497,62.613479044420465,246
79,170.39999999999986,43.79999999999999,139.35668943420524,48.57657840945497,295
80,165.79999999999987,43.79999999999999,140.2131559106738,51.850759110573506,283
81,133.5999999999999,33.599999999999994,140.58422189700482,78.75878211133059,196
82,161.19999999999987,43.79999999999999,141.5188241290435,55.07830869677095,271
83,147.3999999999999,40.39999999999999,142.4399036633761,65.84251715136162,234
84,179.59999999999985,47.19999999999999,143.23857190695304,41.82376865179346,320
85,156.59999999999988,43.79999999999999,143.38835507596428,58.235276182701035,259
86,174.99999999999986,47.19999999999999,143.6582947960522,44.9338339239948,308
87,138.1999999999999,36.99999999999999,144.08800727346673,73.761631968201,209
88,170.39999999999986,47.19999999999999,144.39868369747714,48.0169788336731,296
89,165.79999999999987,47.19999999999999,145.5196371044087,51.05621231781817,284
90,151.9999999999999,43.79999999999999,145.9764142525475,61.289081806094416,247
91,142.7999999999999,40.39999999999999,146.89451980048787,68.89948784395214,222
